Column_1,Column_2,Column_3,Column_4,Column_5,Column_6
No.,Perusahaan,KBLI,,,
1.,UD  IFA ROSIDA,"JL . Cabean RT 03, Panggungharjo, Sewon, Bantul, Panggungharjo, Sewon, Kabupaten Bantul, DI Yogyakarta",Telp. 081*********,,31001
2.,PR  MUJI LESTARI,"Bansari, RT 001/004, Kepek, Wonosari, Kabupaten Gunung Kidul, DI Yogyakarta",Telp. 087*********,,13134
3.,PR Aal Laila,"Pangukan, No 41, RT 01 / RW 09, Tridadi, Sleman, Kabupaten Sleman, DI Yogyakarta",Telp. 082*********,,10794
4.,PT Abhinaya Rawi Sahwahita,"JALAN KYAI MOJO NO.45 RT.001 RW.001, Tegalrejo, Tegalrejo, Kota Yogyakarta, DI Yogyakarta",Telp. 085*********,,27900
5.,PR Abon Ibu Muslimah Lathiifa,"Krandon No 32 RT 04 RW 52 Kel. Wedomartani Kec. Ngemplak Kab. Sleman, Wedomartani, Ngemplak, Kabupaten Sleman, DI Yogyakarta",Telp. 082*********,,10779
6.,PR Achid Bacharudin,"Sanggrahan RT 05 Canden, Canden, Jetis, Kabupaten Bantul, DI Yogyakarta",Telp. 089**********,,10761
7.,PT Acitya Adikara Mandiri,"Jalan Kaliurang KM 14.5, Gg. Melati, Rt 01/Rw 15, Ngelempong, Umbulmartani, Ngemplak, Kabupaten Sleman, DI Yogyakarta",Telp. -,,13929
8.,CV Acta Techno Inava,"RT 06 RW 01, Manukan, Condongcatur, Kec. Depok, Kab. Sleman, D.I. Yogyakarta 55281, Condongcatur, Depok, Kabupaten Sleman, DI Yogyakarta",Telp. 0274882131,,18113
9.,PR Ade Jumino,"lingkar selatan wonosari jl krt djojodiningrat tegalsari seneng siraman wonosari gunungkidul, Siraman, Wonosari, Kabupaten Gunung Kidul, DI Yogyakarta",Telp. 081*********,,10750
10.,PR ADE NURLIANA PUTRANTI,"Sendang RT 35 RW 16, Karangsari, Pengasih, Kabupaten Kulon Progo, DI Yogyakarta",Telp. 081*********,,10794
11.,PT Adhi Persada Beton,"Jl. Monted, Margorejo, Kec. Tempel, Kabupaten Sleman Daerah Istimewa Yogyakarta, Margorejo, Tempel, Kabupaten Sleman, DI Yogyakarta",Telp. +62 21 2780 8877,,23959
12.,CV Adhita Pratama,"Jalan Palagan Rejondani, Ngemplak, Donoharjo, Ngaglik, Sleman, Donoharjo, Ngaglik, Kabupaten Sleman, DI Yogyakarta",Telp. 0274 865212,,
13.,PR Adi Anggoro,"DANEN RT.004 RW.029, Sumberadi, Mlati, Kabupaten Sleman, DI Yogyakarta",Telp. 088********,,14120
14.,PT Adi Satria Abadi,"Ds. Sidokerto Kel. Purwomartani Kec. Kalasan Kab/Kota. kab Sleman Provinsi Daerah Istimewa Yogyakarta, Purwomartani, Kalasan, Kabupaten Sleman, DI Yogyakarta",Telp. 0274 497447/497448,,14132
15.,PT Adi Satria Abadi,"DS. BANYAKAN, SITIMULYO, PIYUNGAN, BANTUL YOGYAKARTA, SITIMULYO, PIYUNGAN, Kabupaten Bantul, DI Yogyakarta",Telp. 081********,,15112
16.,PR Adikarta Clothing Vendor,"Mirisewu RT 032/RW 010, Ngentakrejo, Lendah, Kulon Progo, Ngentakrejo, Lendah, Kabupaten Kulon Progo, DI Yogyakarta",Telp. 085**********,,14111
17.,CV Adikarta Group,"MIRISEWU RT 32/RW 10, Ngentakrejo, Lendah, Kabupaten Kulon Progo, DI Yogyakarta",Telp. 087*********,,14111
18.,PT ADIKARTA SERAYA ARMADA,"Sukoreno, Desa/Kelurahan Sukoreno, Kec. Sentolo, Kab. Kulon Progo, Provinsi Daerah Istimewa Yogyakarta, Sukoreno, Sentolo, Kabupaten Kulon Progo, DI Yogyakarta",Telp. 081*********,,29200
19.,CV Adikreasi Guna Asasta,"Jl. Prambanan Piyungan, Sonayan, Madurejo, Prambanan, Kabupaten Sleman, DI Yogyakarta",Telp. 085*********,,31004
20.,PT Adil Jaya Garment,"Kaliasem Petung, Bangunjiwo, Kasihan,Bantul, Bangunjiwo, Kasihan, Kabupaten Bantul, DI Yogyakarta",Telp. 081********,,14120
21.,PR Adil Plast,"KALIASEM PETUNG BANGUNJIWO KASIHAN BANTUL, BANGUNJIWO, KASIHAN, Kabupaten Bantul, DI Yogyakarta",Telp. 081********,,14120
22.,PR Adistya Dwi Rakhmakh,"GUNUNGKETUR PA2/116, Gunungketur, Pakualaman, Kota Yogyakarta, DI Yogyakarta",Telp. 85238012939,,10710
23.,PR Aditiya Kurniawan Purnomo Aji,"JL. SRI RAHAYU NO. 129H 008/ 010, Banyuraden, Gamping, Kabupaten Sleman, DI Yogyakarta",Telp. 087*********,,10750
