Column_1,Column_2,Column_3,Column_4,Column_5,Column_6
No.,Perusahaan,KBLI,,,
1.,CV  Adimas Jaya Sejahtera,"JL. MERAPI KAVLING 2038, Desa/Kelurahan Serua, Kec. Ciputat, Kota Tangerang Selatan, Serua, Ciputat, Kota Tangerang Selatan, Banten",Telp. 081*********,,28199
2.,PT  Aman Agrindo,"Jl. Raya Panimbang Kampung Tegal Papak Lor, Tegalpapak, Pagelaran, Kabupaten Pandeglang, Banten",Telp. 087*********,,10722
3.,PT  Gunungmas Multiusaha,"JL. RAYA PRANCIS NO. 2 PERGUDANGAN MUTIARA KOSAMBI BLOK C6 NO 23, Dadap, Kosambi, Kabupaten Tangerang, Banten",Telp. 0216281303,,26602
4.,PT 3a Precise Scale,"Jl.Veteran RT05/RW04, Kebon Kelapa, Pasar Kemis, Kabupaten Tangerang, Banten",Telp. 021-5904080,,28192
5.,CV 3s Indonesia,"Jalan Kebon Cau No. 10, Kosambi, Sukadiri, Kabupaten Tangerang, Banten",Telp. 085*********,,22199
6.,PERUM A Tjuan,"JL. Industri raya 2 blok E2, Pasir Jaya, Jatiuwung, Kota Tangerang, Banten",Telp.,,25920
7.,PT Aam Prima Artha,"Jl Ayip Usman, Unyur, Serang, Kota Serang, Banten",Telp. +62 811-9009-115,,10437
8.,CV Abadan Abada,"Link Kepandean Gg Saudara No 21 RT/RW 05/06 Kota Serang Banten, Kagungan, Serang, Kota Serang, Banten",Telp. 089********,,10750
9.,PT Abadi Banua Cemerlang,"Komplek Sentra Bumi Niaga Surya Grand Cisoka, Blok A1, No.6, Jl. Raya Cisoka, Cibugel, Cisoka, Kabupaten Tangerang, Banten",Telp. 081*********,,27404
10.,PT Abadi Coating Solusi,"JL. RAYA PASAR KEMIS KP. KERONCONG RT002/RW004, KERONCONG, JATIUWUNG, Kota Tangerang, Banten",Telp. 0215902518,,20221
11.,PT Abadi Gemilang Industri,"Kp. Leduk No. 42 Rt. 004 Rw.001, Alam Jaya, Jatiuwung, Kota Tangerang, Banten",Telp. 02155722461,,17022
12.,PT Abadi Gunung Readymix,"Kampung Dukuh II  RT004/002, Dangdang, Cisauk, Kabupaten Tangerang, Banten",Telp. 081*********,,23957
13.,PT Abadi Makmur Perkasa,"Jalan Raya Rangkasbitung KM 11 No 8, Pasirbuyut, Jawilan, Kabupaten Serang, Banten",Telp. 0254480486,,23911
14.,PT Abadi Sejahtera Mulia,"JL. raya serang km 16, Telagasari, Cikupa, Kabupaten Tangerang, Banten",Telp. 081********,,
15.,PT ABB SAKTI INDUSTRI,"Jl. Gajah Tunggal Km.01, Pasir Jaya, Jatiuwung, Kota Tangerang, Banten",Telp. 021 2559 5555,,27120
16.,PT Abdi Patra Sejati,"Jababeka Innovation Centre, Blok C-1D, Mekarmukti, Cikarang Utara, Kabupaten Bekasi, Jawa Barat",Telp. 021-29380838,,28120
17.,PT Abemas Multitech,"Pergudangan Surya Balaraja Blok H - 25,  Jl. Raya Serang Km 28 Kp Pos Sentul, Sentul Jaya, Balaraja, Kabupaten Tangerang, Banten",Telp. 02129324722,,28240
18.,PT Abhijati Sahar Dharma,"KP. Kadumangu Dandang RT.009, RW.003, Cisauk, Cisauk, Kabupaten Tangerang, Banten",Telp. 081*********,,31009
19.,PT Abimantrana Andum Prasami,"Kp. Cirarab, Desa/Kelurahan Cirarab, Kec. Legok, Kab. Tangerang,Provinsi Banten, Cirarab, Legok, Kabupaten Tangerang, Banten",Telp. 02129313480,,23957
20.,PT Abyor International,"Wisma BCA Wing A Lantai PH Zone 1, Jl. Kapten Soebianto Djojohadikusumo BSD City, Lengkong Gudang, Serpong, Kota Tangerang Selatan, Banten",Telp. (021) 29004532,,62029
21.,PT Acacia It Services Indonesia,"tidak punya pabrik, tidak punya pabrik, tidak punya pabrik, Kota Tangerang Selatan, Banten",Telp. tidak ada,,62090
22.,PR Acip,"KP CIGEBROK, Giriharja, Cipanas, Kabupaten Lebak, Banten",Telp. 081*********,,10799
23.,PT Acitek Digital Indonesia,"Pergudangan Royal Kosambi Blok EE1-2, Jalan Raya Salembaran, Cengklong, Kosambi, Kabupaten Tangerang, Banten",Telp. 55931846,,32509
24.,PT Acochem Indonesia,"Jl.Gatot Subroto KM.6,2, Jatake, Jatiuwung, Kota Tangerang, Banten",Telp. 021-66600033,,22299
25.,PT Acooler Cold Chain Equipment,"Pergudangan pantai indah dadap BLOK LB NO. 05, Kosambi Tim., Kec. Kosambi, Kabupaten Tangerang, Banten 15213, Kosambi Timur, Kosambi, Kabupaten Tangerang, Banten",Telp. 081********,,
26.,PT ACOSTA SUPER FOOD,"JL. RAYA SERANG KM. 12 RT. 005/002 DESA BITUNG JAYA, BITUNG JAYA, CIKUPA, Kabupaten Tangerang, Banten",Telp. 0215961093,,
27.,PT Acosta Super Food,"Jalan Raya Serang Km. 12, Bitung Jaya, Cikupa, Kabupaten Tangerang, Banten",Telp. 021-5963389,,32402
28.,PT ACRYL TEXTILE MILLS,"JL. M. TOHA KM. 1,, PASAR BARU, KARAWACI, Kota Tangerang, Banten",Telp. 021-5524975,,13112
29.,PT Adana Mega Panel,"Perumahan Legok Permai Blok J1 A9, Jalan Raya Legok Karawaci, Legok, Legok, Kabupaten Tangerang, Banten",Telp. 081*********,,25999
30.,PT Adasakti Daya Asoka,"Taman Tekno BSD Sektor XI E 3/36, Setu, Setu, Kota Tangerang Selatan, Banten",Telp. 02175880000,,
31.,CV Adda Primatek Indonesia,"Kp. Garudug No. 142 RT 08 RW 02, Ranca Iyuh, Panongan, Kabupaten Tangerang, Banten",Telp. 081*********,,28199
32.,PR Ade Chandra,"KP. CIAYUNAN RT/RW.002/001, Sukamulya, Cibeber, Kabupaten Lebak, Banten",Telp. 083*********,,16293
33.,PT Adelphi Transasia Indonesia,"JL. Bhumimas VIII No 2 Desa. telaga kec. Cikupa kab. Tangerang, Telaga, Cikupa, Kabupaten Tangerang, Banten",Telp. 021-29002300,,11040
34.,PT Adhi Chandra Jaya,"Jl. Prabu Kiansantang No.88 RT.001/RW.004, Sangiang Jaya, Periuk, Kota Tangerang, Banten",Telp. 021-5538547,,25934
35.,PT Adhi Cipta Indah,"Jl. Kasir 1 no 88 , Komplek Gajah Tunggal, Pasir Jaya, Jatiuwung, Kota Tangerang, Banten",Telp. 0215900630,,
36.,PT Adhi Jaya Metalindo,"Jl.Raya Mauk Km.7 Kompleks Industri Mekar Jaya, Karet Jaya II No.8 Kp.Cadas RT.005/RW.002, Karet, Sepatan, Kabupaten Tangerang, Banten",Telp. 0215937007,,
37.,PT Adhi Wiratama Rekayasa Jaya,"KOMPLEK PERTAMINA, JL. RAYA SERANG KM 10.5 KP. KADU RT.003 RW.001, Bunder, Cikupa, Kabupaten Tangerang, Banten",Telp. 6333538,,25120
38.,PT Adhimas Mitra Perkasa,"KP BABAKAN RT 01 RW 01 KEL MEKAR JAYA KEC.PANONGAN KAB TANGERANG, MEKAR JAYA, PANONGAN, Kabupaten Tangerang, Banten",Telp. 085*********,,22220
39.,PT ADHITYA MANDIRIPRATAMA,"Pergudangan PKT 3 Blok A No.18 Kp. Cilongok RT. 002/002 Jl. Raya Pasar Kemis KM. 6, Sukamantri, Pasar Kemis, Kabupaten Tangerang, Banten",Telp. 087*********,,27310
40.,CV Adhwa Swara Abadi,"Link. Sambirata Gang Salak NO 120 RT 006 RW 003 Cibeber Cilegon, Cibeber, Cibeber, Kota Cilegon, Banten",Telp. 085*********,,14120
41.,PT Adi Maha Karya,"kp rancadulang no 29 rt 007 rw 002, ranca iyuh, panongan, Kabupaten Tangerang, Banten",Telp. 081*********,,16214
42.,PT Adi Makmur Anugerah Nirwana,"Jl. Raya Cisoka-Taman Adiyasa, RT 006/RW 002, Kp. Jengkol, Cikuya, Solear, Kabupaten Tangerang, Banten",Telp. 081********,,45407
43.,PT ADI PRATAMA INDONESIA,"Jl. Raya STPI Curug No. 38 Km. 0,5, Kadu Jaya, Curug, Kabupaten Tangerang, Banten",Telp. 62215985111,,26210
44.,CV Adi Sakti Chemical,"Lingk Tinggar Baru RT14/02, Sukalaksana, Curug, Kota Serang, Banten",Telp. 021-30499757,,20114
45.,PT Adicipta Hasta Mulia,"komplek DPR blok B no 45 & 46, cipondoh, cipondoh, Kota Tangerang, Banten",Telp. 0215545099,,
46.,PT Adiguna Buana Kemasindo,"JL. IMAM BONJO NO.42, Karawaci, Karawaci, Kota Tangerang, Banten",Telp. 02155791822,,17099
47.,PT Adiguna Masonry Indonesia,"Jl. Raya Serang Km. 13,8 Kawasan Tunas Bitung , Desa/Kelurahan Pasir Jaya, Kec. Cikupa, Kab. Tangerang, Provinsi Banten Kode Pos: 15710, Pasir Jaya, Cikupa, Kabupaten Tangerang, Banten",Telp. 02159408078,,23962
48.,PT Adiguna Masonry Indonesia,"Kawasan Pergudangan Tunas Bitung  Blok G, Jalan Raya Serang Km 13.8 Desa Pasir Jaya, Sukadamai, Cikupa, Kabupaten Tangerang, Banten",Telp. 59408078,,23961
49.,PT Adijaya Makmur Sejahtera,"JLN. RAYA JAKARTA SERANG KM 68, KAWASAN INDUSTRI MODERN CIKANDE, NAMBO UDIK, CIKANDE, Kabupaten Serang, Banten",Telp. 021-54360296,,22210
50.,PT Adijaya Makmur Sejahtera,"Kawasan Industri Modern Cikande Jl. Modern Industri XIX, Blok AM No 18, Nambo Udik, Cikande, Kabupaten Serang, Banten",Telp. 085*********,,22210
51.,PT Adijaya Unindo Perkasa,"KP. SEMPUR, JAYANTI, JAYANTI, Kabupaten Tangerang, Banten",Telp. -,,10801
52.,PT Adil Makmur Fajar,"Jl. Industri Raya No. 1 Km. 21, Budi Mulya, Cikupa, Kabupaten Tangerang, Banten",Telp. 021-5963470,,20212
53.,PT Adilmart,"Jl. Bhumimas I No. 9, Kawasan Industri Cikupamas, Talaga, Cikupa, Kabupaten Tangerang, Banten",Telp. 021 59409611,,10130
54.,PT Adilmart,"Kawasan Industri Cikupamas, Jl. Bhumimas I no.9,, Talaga, Cikupa, Kabupaten Tangerang, Banten",Telp. 02159409611,,10130
55.,PT Adina Multi Wahana,"Jl Garuda No. 99 RT 006 RW 005, BATUJAYA, BATU CEPER, Kota Tangerang, Banten",Telp. 0215523939,,17022
56.,PT Adinaga Sindo Jaya,"Kp. Bojot RT. 002/001, Desa Bojot, Kec. Jawilan, Kab. Serang, Provinsi Banten, Bojot, Jawilan, Kabupaten Serang, Banten",Telp. 082*********,,22210
57.,PT Adiperkasa Anugrah Pratama,"Jl. Pajajaran No. 10 RT. 001 RW. 007, Gandasari, Jatiuwung, Kota Tangerang, Banten",Telp. 5917322,,29300
58.,PT ADIS DIMENSION FOOTWEAR,"Jalan Raya Serang Km. 24 RT 001/ RW 003, Balaraja, Balaraja, Kabupaten Tangerang, Banten",Telp. 021 5951660-3,,15202
59.,PT ADITEC CAKRAWIYASA,"Jl. Raya Serang KM.15 RT 04 RW 01, Talagasari, Cikupa, Kabupaten Tangerang, Banten",Telp. 5960233,,25992
60.,PT Adiwisesa Mandiri Building Product Indonesia,"Jl. Raya Serang KM. 30,, Cangkudu, Balaraja, Kabupaten Tangerang, Banten",Telp. 021-22200193,,23911
61.,PT Adjie Pratama Sakti,"Jl.Gatot Subroto Km.3,5 Pusat Niaga Cibodas Blok E-19, Cibodas, Cibodas, Kota Tangerang, Banten",Telp. 021-5539016,,25112
62.,PT Adtesu Atn Indonesia,"UNIT. L9,  Jl. Raya Salembaran No.99, Cengklong, Kosambi, Kabupaten Tangerang, Banten",Telp. 081********,,28130
63.,PT ADVANCE SMELTING TECHNOLOGY,"Kawasan Industri Pancatama, Kp. Baru RT. 005, RW. 002, Desa Leuwilimus, Leuwi Limus, Cikande, Kabupaten Serang, Banten",Telp. 081*********,,24202
64.,PT Advansia Indotani,"KAWASAN INDUSTRI MODERN CIKANDE XIX BLOK, NAMBO UDIK, Nambo Udik, Cikande, Kabupaten Serang, Banten",Telp. 081*********,,20212
65.,PT Advindo Kikaku,"Jalan Tekno Utama Kawasan Industri Taman Tekno Blok F2 No. 3A, Setu, Setu, Kota Tangerang Selatan, Banten",Telp. 021-7563480,,17022
66.,PT Adyaboga Pranata Industries,"JL. RAYA PASAR KEMIS KM 6 CILONGOK TANGERANG, Sukamantri, Pasar Kemis, Kabupaten Tangerang, Banten",Telp. 021-5903903,,10710
67.,PT AERO NUSANTARA INDONESIA,"Jl. Raya PLP Curug, Kemuning, Legok, Kabupaten Tangerang, Banten",Telp. 021-5462204,,33153
68.,PT Aerotama Makmur Sentosa,"Jl. Raya Perancis Pergudangan Bandara Benda Permai Blok G No.9, Benda, Benda, Kota Tangerang, Banten",Telp. 02155910567,,25119
69.,PT Afc Berjaya Indonesia,"Laksana Business Park Blok EC No. 32, Kp. Sungai Turi RT 004/ RW 002, Jl. Raya Kalibaru Cituis, Laksana, Pakuhaji, Kabupaten Tangerang, Banten",Telp. 29866592,,28130
70.,PT Agam Star,"JL. VETERAN NO. 6 CISEREH HAUR RT/RW 003/002, Cukanggalih, Curug, Kabupaten Tangerang, Banten",Telp. 021-5988301,,22220
71.,PT Agarindo Biological Company,"Kp. Cilongok RT/RW 04/03 Ds Sukamantri Ps Kemis Tangerang, Sukamantri, Pasar Kemis, Kabupaten Tangerang, Banten",Telp. 02156951806,,32509
72.,PT Agarindo Bogatama,"Jl. Agarindo No 8, Raya Pasar Kemis Km 7, Sukamantri, Pasar Kemis, Kabupaten Tangerang, Banten",Telp. +62215903514,,10298
