Column_1,Column_2,Column_3,Column_4,Column_5,Column_6
28.,PT Alex Villas Concrete,"Jalan Kebo Iwa, Banjar Dukuh Moncos, Desa/Kelurahan Sobangan, Kec. Mengwi, Kab. Badung, Provinsi Bali,, Sobangan, Mengwi, Kabupaten Badung, Bali",Telp. 081*********,,
29.,CV Alm Dairy,"Jl. Bukit Bintang No.18A Perum Puri Gading, Ungasan, Kuta Selatan, Kabupaten Badung, Bali",Telp. 03614467046,,10590
30.,PT Amanaid,"Jl. Kusuma Bangsa No.3, Pemecutan Kaja, Kec. Denpasar Utara, Kota Denpasar, Bali 80118, Pemecutan Kaja, Denpasar Utara, Kota Denpasar, Bali",Telp. 0361430902,,23129
31.,PR Ana Rosalina,"BANJAR KELAPA BALIAN, Desa/Kelurahan Pengambengan, Kec. Negara, Kab. Jembrana, Provinsi Bali, Tegal Badeng Barat, Negara, Kabupaten Jembrana, Bali",Telp. 087*********,,10710
32.,PR Anak Agung Anom Sasih,"Banjar Puri Dusun Pegatepan, Gelgel, Klungkung, Kabupaten Klungkung, Bali",Telp. +6287751999146,,10794
33.,PR Anak Agung Ayu Mahesarani Karang,"BR. DINAS ABANG KELOD, Abang, Abang, Kabupaten Karang Asem, Bali",Telp. 085*********,,32903
34.,PR Anak Agung Gde Mayun Purnamerta,"DUSUN PENINJOAN DESA PAKSEBALI, Desa/Kelurahan Paksebali, Kec. Dawan, Kab. Klungkung, Provinsi Bali, Paksebali, Dawan, Kabupaten Klungkung, Bali",Telp. 081*********,,32903
35.,PR Anak Agung Gede Darma Yuda,"Jl. Sawo No. 4, Bitera, Gianyar, Kabupaten Gianyar, Bali",Telp. 081********,,32903
36.,PR Anak Agung Gede Dwiantara,"Link/Br. Puri Dencarik Bangli, Kawan, Bangli, Kabupaten Bangli, Bali",Telp. 081*********,,10710
37.,PR Anak Agung Istri Agung Kemala Dewi,"Jalan Pandu, Gang Gatotkaca (Rumah ke 2), Banjar Agung, Dusun Bingin, Kusamba, Dawan, Kabupaten Klungkung, Bali",Telp. 087*********,,32903
38.,PR Anak Agung Ngurah Dwi Darma Eka Putra,"Jalan Gunung Catur No 9X, Padang Sambian Kaja, Denpasar Barat, Kota Denpasar, Bali",Telp. 085*********,,10771
39.,PR Andi Mardisantoso,"JL.G.SEMERU GG:III/15, Loloan Timur, Jembrana, Kabupaten Jembrana, Bali",Telp. 087*********,,10794
40.,PR Angelina Aprilia Cahyadi,"Jl Tukad Badung XII-C no 8, Renon, Denpasar Selatan, Kota Denpasar, Bali",Telp. 081*******,,10710
41.,PT Angin Dingin Utara,"Jl. Raya Kesambi no 1b, Kerobokan, Kuta Utara, Kabupaten Badung, Bali",Telp. 081********,,
42.,PR Anistati,"JL. WIJAYA KUSUMA, Baler Bale Agung, Negara, Kabupaten Jembrana, Bali",Telp. +6281953179553,,10750
43.,PT Antika Dewata Perkasa,"JL. CARGO PERMAI NO.58, UBUNG, DENPASAR UTARA, Kota Denpasar, Bali",Telp. 0361-415600,,29200
44.,PR Anugerah Peri,"JL. INTAN PERMAI, PERUM. DARMA SANTI NO. 24, Kerobokan  Kelod, Kuta Utara, Kabupaten Badung, Bali",Telp. 087*********,,14120
45.,PT Anugrah Swarna Glass,"Jl. Raya Gadungan No.168, Br. Pucuk, Ds. Bantas, Kec. Selemadeg Timur Kab. Tabanan, Bantas, Selemadeg Timur, Kabupaten Tabanan, Bali",Telp. 03613160529,,32909
46.,UD Ari Bali,"JALAN RAYA MAS NOMOR.41, KEL. MAS, KEC. UBUD,KAB. GIANYAR, Mas, Ubud, Kabupaten Gianyar, Bali",Telp. 081*********,,
47.,CV Ari Lovina Singaraja,"Jalan Pulau Menjangan Gang Candi Nomor 8, Banyuning, Buleleng, Kabupaten Buleleng, Bali",Telp. 081*******,,11020
48.,CV Aria Cahaya Sejahtera,"jalan. Raya besakih, dusun Yangapi, Akah, Klungkung, Kabupaten Klungkung, Bali",Telp. 081*********,,21022
49.,CV Aridarma Sejahtera,"Jl. Tibung Sari Gg. Cendrawasih No.5, br.kwanji, Dalung, Kuta Utara, Kabupaten Badung, Bali",Telp. 089********,,14111
50.,CV Aridarma Sejahtera,"l. Gunung Salak No.88b, Padangsambian Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80117, Padangsambian, Denpasar Barat, Kota Denpasar, Bali",Telp. 089*********,,14111
51.,PR Aris Kristiawan,"JL. G BATUR GANG 15, Loloan Timur, Jembrana, Kabupaten Jembrana, Bali",Telp. 082*********,,14111
52.,PT Arjuna Yoga Sakti,"Jalan Gunung Guntur XVIII No. 14, Padangsambian, Denpasar Barat, Kota Denpasar, Bali",Telp. 03618448696,,20232
53.,PR Armanu,"BANJAR MELAYA KRAJAN, Melaya, Melaya, Kabupaten Jembrana, Bali",Telp. 085*********,,10761
54.,PT AROMADUTA RASAPRIMA,"Jalan By Pass Ngurah Rai 555X Pesanggaran, Pedungan, Denpasar Selatan, Kota Denpasar, Bali",Telp. 0361729494,,10130
55.,PT Arpan Bali Utama,"JL. Danau Tondano Gang 1X, Sanur, Denpasar Selatan, Bali, Sanur, Denpasar Selatan, Kota Denpasar, Bali",Telp. 0361286298,,11020
56.,PR Arta Sedana,"Br. Dinas Kebon Telaga Tawang, Telaga Tawang, Sidemen, Kabupaten Karang Asem, Bali",Telp. 082*********,,13122
57.,PR Artha Dharma,"Jl. Raya sinabun KM.1 Singaraja-Bali, Sinabun, Sawan, Kabupaten Buleleng, Bali",Telp. 081*********,,13122
58.,CV Artisan Kreasi Manis,"Jl. Dewi Saraswati IIIA blok II no 8A, Padangsambian Kelod, Denpasar Barat, Kota Denpasar, Bali",Telp. 081*********,,10710
59.,PR Arunika,"Jln. Pulau Adi I No. 17 Bumi Werdhi, Dauh Puri Kauh Denpasar, Dauh Puri Kauh, Denpasar Barat, Kota Denpasar, Bali",Telp. 081*********,,14111
60.,CV Arya Jaya Mandiri,"JL. GUNUNG GALUNGGUNG NO. 5, Ubung Kaja, Denpasar Utara, Kota Denpasar, Bali",Telp. 0361-419136,,24102
61.,PR Arya Paramita,"Perumahan Permata Nusa Dua Blok K no 8, Benoa, Kuta Selatan, Badung, Bali, Benoa, Kuta Selatan, Kabupaten Badung, Bali",Telp. 081********,,10762
62.,PR Asmak Udin,"Lingkungan Terusan, Lelateng, Negara, Kabupaten Jembrana, Bali",Telp. 081*********,,10391
63.,PT Asti Dama Adhimukti,"Jalan Raya Penyalin No. 9, samsam, kerambitan, Kabupaten Tabanan, Bali",Telp. 081********,,11010
64.,PT Astra International,"Jl. Semabaung No. 89, Bedulu, Blahbatu, Kab Gianyar, Bali 80581, Bedulu, Blahbatu, Kabupaten Gianyar, Bali",Telp. (021) 6512000,,45201
65.,PT Astra International,"Jln. Cokroaminoto No.80, Pemecutan Kaja, Denpasar Utara, Kota Denpasar, Bali",Telp. 021-65310250,,45407
66.,PT Astra International,"JL. Sudirman Lingkungan Satria, satria, jembrana, Kabupaten Jembrana, Bali",Telp. 021-65310250,,45407
67.,PT Astra International,"Jl. Achmad Yani No. 99 Abian Tuwung, Kediri, Kab Tabanan, Bali 82121, Abian Tuwung, Kediri, Kabupaten Tabanan, Bali",Telp. (021) 6512000,,45201
68.,PT Astra International,"Jl. Raya Singaraja Seririt, BR. Dinas Dharma Raya, Desa Tukad Mungga Kecamatan Buleleng, Kabupaten Buleleng,bali 81119, Tukad Mungga, Buleleng, Kabupaten Buleleng, Bali",Telp. (021) 6512000,,45201
69.,PT Astra International,"Jln. Mahendradata no 199, padangsambian klod, denpasar barat, Kota Denpasar, Bali",Telp. 021-65310250,,45407
70.,PT Astra International,"Jl. By Pass Ngurah Rai No. 8, Sanur Kaja, Denpasar Selatan, Kota Denpasar, Bali",Telp. 021 - 6507000,,45201
71.,PT Astra International,"Jl. By Pass Ngurah Rai No. 99X, Tuban, Kuta, Kabupaten Badung, Bali",Telp. 021 - 6507000,,
72.,PT Astra International,"Jl. Udayana No. 260, Buruan, Blahbatuh, Kabupaten Gianyar, Bali",Telp. 021 - 6507000,,
73.,PT Astra International,"Jl. A.Yani No 174, Baktiseraga, Buleleng, Kabupaten Buleleng, Bali",Telp. 021 - 6507000,,
74.,PT Astra International,"Jl. Dipenogoro No. 7, seririt, seririt, Kabupaten Buleleng, Bali",Telp. 021-65310250,,45407
75.,PT Astra International,"Jln. Bypass Ngurah Rai, Komp Ruko Niaga Nusa Dua Blok 5-7, benoa, kuta selatan, Kabupaten Badung, Bali",Telp. 021-65310250,,45407
76.,PT Astra International,"Jln. Raya Sesetan No. 140, sesetan, denpasar selatan, Kota Denpasar, Bali",Telp. 021-65310250,,45407
77.,PT Astra International,"Jln. Teuku umar No.52-54, dauh puri klod, denpasar barat, Kota Denpasar, Bali",Telp. 021-65310250,,45407
78.,PT Astra International,"JL. PROFESSOR DOKTOR IDA BAGUS MANTRA NO. 119 X, LEMBENG - GIANYAR, Lembeng, Sukawati, Kabupaten Gianyar, Bali",Telp. 021-6501000,,45201
79.,PT Astra International,"JL. HOS COKROAMINOTO NO. 52, DENPASAR, Pemecutan Kaja, Denpasar Utara, Kota Denpasar, Bali",Telp. 021-6501000,,45201
80.,PT Astra International,"Jl. Ir. Soekarno No. 169x, Dauh Peken, Tabanan, Kabupaten Tabanan, Bali",Telp. 021 - 6507000,,
81.,PT Astra International,"JL. A YANI NO.200, BAKTISERAGA, BULELENG, BALI, Baktiseraga, Buleleng, Kabupaten Buleleng, Bali",Telp. 021-6501000,,45201
82.,PT Astra International,"Jl. HOS Cokroaminoto 81, Ubung Kaja, Denpasar 80116, Ubung Kaja, Denpasar Utara, Kota Denpasar, Bali",Telp. (021) 6512000,,45201
83.,PT Astra International,"Jl. By Pass I Gusti Ngurah Rai No. 395, Sanur Denpasar Selatan, Bali 80228, Sanur, Denpasar Selatan, Kota Denpasar, Bali",Telp. (021) 6512000,,45201
84.,PT Astra International,"Jl. Gatot Subroto Timur No.168A, Kesiman Kertalangu, Denpasar Timur, Kota Denpasar, Bali",Telp. 021-6505959,,45201
85.,PT Astra International,"Jl. Dewi Sri No 80, legian, kuta, Kabupaten Badung, Bali",Telp. 021-65310250,,45407
86.,PT Astra International,"Jl. Cokroaminoto No. 52, Pemecutan Kaja, Denpasar Utara, Kota Denpasar, Bali",Telp. 021 - 6507000,,45201
87.,PT Astrido Jaya Mobilindo,"Jl. mahendradata No 229, Padangsambian Kelod, Denpasar Barat, Kota Denpasar, Bali",Telp. 0361-8466287,,
88.,PR Ayu Juliantari,"Jalan Ahmad Yani Selatan, Dangin Puri Kaja, Denpasar Utara, Kota Denpasar, Bali",Telp. 085*********,,32112
89.,PT Ayu Natural Bali,"Jl. Bumbak, Br. Anyar Kelod, Kerobokan, Kuta Utara, Kabupaten Badung, Bali",Telp. 081*********,,20232
90.,PR Ayu Nyoman Puspawati,"Jl. Untung Surapati Lingk. Galiran Kaler, Subagan, Karangasem, Kabupaten Karang Asem, Bali",Telp. 0,,10793
91.,PT AYU ORCHID,"Jl.Imam bonjol no.324, Pemecutan Kelod, Denpasar Barat, Kota Denpasar, Bali",Telp. 0361-484526,,
92.,PR Ayu Putu Paramesuari,"LINGKUNGAN PENDEM, Pendem, Jembrana, Kabupaten Jembrana, Bali",Telp. 081*********,,10710
93.,PR Ayuk Hendriyani,"Banjar Dajan Peken, Penarungan, Mengwi, Kabupaten Badung, Bali",Telp. 087*********,,10214
94.,PT Ayunan Bulan International,"JL. MUDING BATU SANGIAN VI NO. 10, KEROBOKAN KAJA, KUTA UTARA, Kabupaten Badung, Bali",Telp. 0361419288,,14111
95.,PR Bagus Arya Kusuma,"Jalan Pulau Batam No. 39 Tabanan, Dauh Peken, Tabanan, Kabupaten Tabanan, Bali",Telp. 085*********,,21022
96.,PT BAILA CON AGUA,"JL. SAWIRA NO.1, KEROBOKAN, KUTA UTARA,, KEROBOKAN, KUTA UTARA, Kabupaten Badung, Bali",Telp. 0361-8445956,,14111
97.,PR Baiq Leni Yusmana,"Banjar Wanasari, Ekasari, Melaya, Kabupaten Jembrana, Bali",Telp. 085*********,,10732
98.,PT Baking Co Sukses Maju,"Jalan Tukad Nyali, Nomor 18, Sanur Kaja, Denpasar Selatan, Kota Denpasar, Bali",Telp. 081********,,10710
99.,PT Bali Agung Waters,"Jl Besakih No.4 Tegenan, Menanga, Rendang, Kabupaten Karang Asem, Bali",Telp. 0361728734,,11051
100.,PT Bali Alus,"Jalan Wibisana Barat No. 100, Pemecutan Kaja, Denpasar Utara, Kota Denpasar, Bali",Telp. 03619005808,,20232
101.,PT Bali Aneka Segar,"JL. RAYA ULUWATU 1 JIMBARAN, KUTA SELATAN, JIMBARAN, KUTA SELATAN, Kabupaten Badung, Bali",Telp. 081*********,,10772
102.,PT Bali Animasi Solusi Ekakarsa,"Jl Teuku Umar Bara t No 379, Padangsambian Kelod, Denpasar Barat, Kota Denpasar, Bali",Telp. 0361,,
103.,PT Bali Animation Studio,"Jl. Teuku Umar Barat No. 379 LT II, Padangsambian Kelod, Denpasar Barat, Kota Denpasar, Bali",Telp. 0361846671,,59122
104.,CV Bali Apparel Sentosa,"Jl Mertasari No. 167 Sidakarya, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali",Telp. 03614487132,,
105.,PT BALI ARTHA SEDUH,"Banjar Dlod Peken, Keramas, Blahbatuh, Kabupaten Gianyar, Bali",Telp. 081*********,,
106.,CV Bali Bagus,"JL. TEUKU UMAR NO. 246 R, Pemecutan  Kelod, Denpasar Barat, Kota Denpasar, Bali",Telp. 0361 244 664,,10710
107.,PT Bali Busana Kreasi,"Perum Anggi Elok Blok F no 19, Br Kung, Dalung - Kuta Utara, Dalung, Kuta Utara, Kabupaten Badung, Bali",Telp. 0361 9003639,,14111
108.,CV Bali Celebriti Metaksu,"RENDING SANCTUARY RESIDEN & VILLAS NO.1 BANJAR TEGEH, Dalung, Kuta Utara, Kabupaten Badung, Bali",Telp. 081*********,,10710
109.,PT Bali Coklat,"Jl. Denpasar-Singaraja No.29, Werdi Bhuwana, Kec. Mengwi, Kabupaten Badung, Bali, Werdi Bhuwana, Mengwi, Kabupaten Badung, Bali",Telp. (0361) 2091011,,10732
110.,CV Bali Creative House,"JL. GUNUNG TALANG NO.2, Padangsambian, Denpasar Barat, Kota Denpasar, Bali",Telp. 03618456364,,14111
111.,CV Bali Danu Sentana,"Jalan Angsoka Selatan Nomor 99, Dusun/Lingkungan Tengah, Ubung, Denpasar Utara, Kota Denpasar, Bali",Telp. 081*******,,
112.,PT Bali Dewata Melali,"Jalan Goa Betel 5 no 10, Jimbaran, Kuta Selatan, Kabupaten Badung, Bali",Telp. 081*******,,10774
113.,PT Bali Distillery Utama,"Jl. Danau Tondano No. 58, Taman, Sanur, Denpasar Selatan, Kota Denpasar, Bali",Telp. 03614721377,,11031
114.,PT Bali Extract Utama,"JL. Pantai Lepang Desa Takmung, Takmung, Banjarangkan, Kabupaten Klungkung, Bali",Telp. 0366-5551221,,10799
115.,PR Bali Gendis,"DUSUN TENGAH DESA DAWAN KLOD, Desa/Kelurahan Dawan Kelod, Kec. Dawan, Kab. Klungkung, Provinsi Bali, Dawan Kelod, Dawan, Kabupaten Klungkung, Bali",Telp. +6281353135334,,
116.,PT Bali Internusa Gelatonesia,"Jl. Palapa IV C/2, Sesetan, Denpasar, Desa/Kelurahan Sesetan, Kecamatan Denpasar Selatan, Sesetan, Denpasar Selatan, Kota Denpasar, Bali",Telp. 081*******,,10531
117.,PT Bali Manufacture Ind,"Perumahan Seminyak Asri no. 36. Jl. Kunti II, Seminyak, Kuta, Kabupaten Badung, Bali",Telp. +62 812-3791-9041,,14111
118.,PT BALI MAYA PERMAI FOOD CANNING INDUSTRY,"Jalan Raya Pengambengan, Tegal Badeng Barat, Negara, Kabupaten Jembrana, Bali",Telp. (0365) 42500,,10221
119.,PT Bali Moda Busana,"Jl. Jantuk Angsa No.11, Pererenan. Mengwi, Badung, Pererenan, Mengwi, Kabupaten Badung, Bali",Telp. 03616200114,,14111
120.,PT BALI MOON,"Banjar Pering, Pering, Blahbatuh, Kabupaten Gianyar, Bali",Telp. +62361 4797588,,11020
121.,PT Bali Moon Keramik,"Jalan By Pass Ngurah Rai No 144 Padang Galak, Kesiman Petilan, Denpasar Timur, Kota Denpasar, Bali",Telp. 03614492523,,23932
122.,PR Bali Nature,"Jalan Nuansa Udayana I Nomor 19, Jimbaran, Kuta Selatan, Kabupaten Badung, Bali",Telp. 03614467596,,20232
123.,PT Bali Nirmala,"JALAN KEBO IWA GG. GUNUNG PATAS NO. 16 C, Padang Sambian Kaja, Denpasar Barat, Kota Denpasar, Bali",Telp. 085*********,,14111
124.,CV Bali Nusa,"JL. WR SUPRATMAN NO. 230 DENPASAR, Kesiman Kertalangu, Denpasar Timur, Kota Denpasar, Bali",Telp. (0361) 236472,,13122
125.,PR Bali Rajut,"Lingkungan Pangkung Gondang, Desa Sangkaragung Jembrana, Sangkaragung, Jembrana, Kabupaten Jembrana, Bali",Telp. 081*********,,13924
126.,PT Bali Rambut Mandiri,"Sidembunut, Cempaga, Bangli, Kabupaten Bangli, Bali",Telp. 081********,,22299
127.,PT BALI SARI,"Jl. Purba Indah No 25 Penamparan, Padangsambian, Denpasar Barat, Kota Denpasar, Bali",Telp. 03619005107,,20232
128.,PT Bali Sentra Baja,"JL. RAYA DENPASAR GILIMANUK NO. 47, Sudimara, Tabanan, Kabupaten Tabanan, Bali",Telp. 03616201311,,25112
129.,PT BALI SOAP,"JL. BY PASS NGURAH RAI NO. 455 B, SESETAN, DENPASAR SELATAN, Kota Denpasar, Bali",Telp. 03614481187,,20231
130.,PT Bali Summer Indonesia,"Jalan Muding Mundeh III Nomor 30, Kerobokan  Kaja, Kuta Utara, Kabupaten Badung, Bali",Telp. 0361 3354628,,14111
131.,PT Bali Tangi,"Jl. Kebo Iwa Utara No. 168, Padang Sambian Kaja, Denpasar Barat, Kota Denpasar, Bali",Telp. 0361415489,,20232
132.,PT Bali Tobacco Factory,"Jl. Raya Gilimanuk Denpasar KM 80 No.1, Banjar Bonian, Antap, Selemadeg, Kabupaten Tabanan, Bali",Telp. 03613458876,,12099
133.,PT Bali Tobacco Group,"Jl. Raya Gilimanuk KM 80 No. 1, Selemadeg, Tabanan, Kabupaten Tabanan, Bali",Telp. 081*********,,12019
134.,PT Bali Toncity,"Jl.Imam Bonjol no.486, Pemecutan  Kelod, Denpasar Barat, Kota Denpasar, Bali",Telp. 755210,,31001
135.,PT Bali Tonik Alami,"JL. MERTANADI NO. 1D, LINGK. TAMAN, KEROBOKAN KELOD, KUTA UTARA, Kabupaten Badung, Bali",Telp. 081*********,,11040
136.,PT Bali Ytka,"Banjar Pujung Kelod, Sebatu, Tegallalang, Kabupaten Gianyar, Bali",Telp. -,,20232
137.,PT Balibiasa Indah Koleksi,"JALAN TANGKUBAN PERAHU GANG SD 13 NO. 15, Padangsambian Kelod, Denpasar Barat, Kota Denpasar, Bali",Telp. (0361) 421029,,14111
138.,PT Balifoam Nusamegah,"Jl.By Pass Ngurah Rai No.34, Pedungan, Denpasar Selatan, Kota Denpasar, Bali",Telp. 0361720442,,31004
139.,PT BALINDO MITRA PERKASA,"Banjar Dinas Dharma, Tukadmungga, Buleleng, Kabupaten Buleleng, Bali",Telp. (0362) 7005252,,11020
140.,PT Balinusa Windumas,"JL IKAN TUNA II NO. 1 PELABUHAN BENOA, PEDUNGAN, DENPASAR SELATAN, Kota Denpasar, Bali",Telp. 0361722688,,10219
141.,PR Baliwa Songket Coliection,"Jl. Noja I Gg. IVA no. 1A Br. Abian Nangka Kelod, Kesiman Petilan, Denpasar Timur, Kota Denpasar, Bali",Telp. 081*********,,13122
142.,PR Bambang Fuedianto,"Jl. By Pass Prof Ida Bagus Mantra km 22, Tulikup, Gianyar, Kabupaten Gianyar, Bali",Telp. 081*********,,23929
143.,PT Bamboo Pure,"Br. Piakan, Sibangkaja, Abiansemal, Kabupaten Badung, Bali",Telp. 0361469874,,31002
144.,PT BANDAR NELAYAN,"JL.IKAN TUNA IV NO.8, PEDUNGAN, DENPASAR SELATAN, Kota Denpasar, Bali",Telp.,,
145.,CV BANYAN INTERNATIONAL,"Jl. Raya Mas Banjar Batanancak Ubud Gianyar, Ubud, Ubud, Kabupaten Gianyar, Bali",Telp. 0361 972827,,32903
146.,PT banyu sakti,"JL. KINTAMANI-SINGARAJA, BANJAR PUDEH, DESA TAJUN, KUBUTAMBAHAN, Kabupaten Buleleng, Bali",Telp. 0361734661,,11020
147.,PT Batukaru Distileri Bali,"Jl. Munduk Klp Balian, Tegal Badeng Timur, Negara, Kabupaten Jembrana, Bali",Telp. 0361285479,,
148.,PT Benson Indo Makmur,"Bj. Dinas Brongbong, Celukan Bawang, Gerokgak, Kabupaten Buleleng, Bali",Telp. 02166672960,,11020
149.,PT Perorangan Berbinar Moda Indo,"Jl Gn Cemara VIIA no 1, Tegal Harum, Denpasar Barat, Kota Denpasar, Bali",Telp. 081*********,,14120
150.,PT Perorangan Berkat Linen Abadi,"Jl. Muding Indah Raya Gang Ratna Sari No.3 B Lingkungan Muding, Kerobokan  Kaja, Kuta Utara, Kabupaten Badung, Bali",Telp. 081********,,14111
151.,PT Bhinneka Rekayasa Teknologi,"Merak 5, Jl. Veteran, Buduk, Mengwi, Kabupaten Badung, Bali",Telp. +6281389496535,,62024
152.,PT Bima Sakti Alterra,"Jalan SMA 3 Nomor 6, Sumerta, Denpasar Timur, Kota Denpasar, Bali",Telp. 03614785050,,26513
153.,UD Bintang Darmawan,"Jalan Nagasari No 98. Penatih, Penatih Dangin Puri, Denpasar Timur, Kota Denpasar, Bali",Telp. 0361 -465279,,
154.,PR BINTANG DUA SEMBILAN,"Jl. Gunung Soputan Gang Umadui Br. Umadui, Padangsambian Kelod, Denpasar Barat, Kota Denpasar, Bali",Telp. +6281239256783,,13132
155.,CV Bintang Kaya,"Jalan Kenyeri No. 12, Semarapura Kelod, Klungkung, Kabupaten Klungkung, Bali",Telp. 085*********,,14111
156.,PR Bitrika Ulya,"BANJAR PEBUAHAN, Banyu Biru, Negara, Kabupaten Jembrana, Bali",Telp. 081*********,,10794
157.,PT Biwae Cosmetics Natural,"Br. Pujung Kelod, Sebatu, Tegallalang, Kabupaten Gianyar, Bali",Telp. 081*********,,20231
158.,PR Blessings Customring,"BR. CELUK, Celuk, Sukawati, Kabupaten Gianyar, Bali",Telp. 081*********,,32112
159.,PT Blue Tick Ice,"Jalan Raya Canggu No. 73C, Kerobokan, Kuta Utara, Kabupaten Badung, Bali",Telp. 081*********,,35302
160.,PR Blw Collection,"PERUMAHAN GIYA TANSA TRISNA CENDANA 7 CC 34, DALUNG, Dalung, Kuta Utara, Kabupaten Badung, Bali",Telp. 083*********,,15121
161.,PT Boga Prima Sejati,"Br. Dinas Gitgit, Desa Gitgit, , Sukasada, Kabupaten Buleleng, Bali",Telp.,,
162.,PT Boga Prima Sejati,"Desa Gitgit, Gitgit, Sukasada, Kabupaten Buleleng, Bali",Telp. 087*********,,11020
163.,PT BREGWIN INDONESIA,"JL. PANTAI BATU BOLONG NO. 18, Canggu, Kuta Utara, Kabupaten Badung, Bali",Telp. 0361 9069 335,,32112
